Name,Latitude,Longitude,Description,Type
Unnamed Bicycle Parking,1.2993917,103.8509418,"Capacity: 50, Covered: no",Bicycle Parking
Unnamed Bicycle Parking,1.2986754,103.8503302,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.2670578,103.8093546,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3224222,103.816414,"Capacity: 100, Covered: no",Bicycle Parking
Unnamed Bicycle Parking,1.29535,103.8677173,"Capacity: 30, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3899402,103.8846846,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3880575,103.8876983,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.4379877,103.8395025,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.4063724,103.9030207,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.4060689,103.9029899,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.4073747,103.9015802,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3914807,103.9755473,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3074017,103.8185,"Capacity: 8, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.2569186,103.8112654,"Capacity: 13, Covered: no",Bicycle Parking
Unnamed Bicycle Parking,1.3440152,103.7200712,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3440943,103.721044,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3206651,103.8436478,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3236006,103.8540617,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3853285,103.8729738,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.324152,103.8562809,"Capacity: 8, Covered: no",Bicycle Parking
Unnamed Bicycle Parking,1.333601,103.850129,"Capacity: 5, Covered: yes",Bicycle Parking
Unnamed Bicycle Parking,1.2912666,103.8494729,"Capacity: Unknown Capacity, Covered: yes",Bicycle Parking
Unnamed Bicycle Parking,1.3034103,103.8761999,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.4284335,103.8349796,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3243773,103.9215307,"Capacity: 10, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3284564,103.8927082,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3717524,103.7797265,"Capacity: 19, Covered: no",Bicycle Parking
Unnamed Bicycle Parking,1.3717984,103.7799786,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3117355,103.856175,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3043988,103.924293,"Capacity: 12, Covered: no",Bicycle Parking
Unnamed Bicycle Parking,1.2482388,103.8416438,"Capacity: 8, Covered: no",Bicycle Parking
Unnamed Bicycle Parking,1.3274972,103.8463094,"Capacity: 5, Covered: no",Bicycle Parking
Unnamed Bicycle Parking,1.4493028,103.8213014,"Capacity: Unknown Capacity, Covered: yes",Bicycle Parking
Unnamed Bicycle Parking,1.3122199,103.8549852,"Capacity: 20, Covered: yes",Bicycle Parking
