Name,Latitude,Longitude,Description,Type
Pang Sua Park Connector,1.393708817,103.7524266,Postal Code:: 9QV2+CW Singapore<br>Latitude:: 1.393708817<br>Level:: 1<br>Description:: Next to stairs<br>Temperature of water:: Room Temperature<br>Operator:: NParks<br>Source:: Google Forms<br>Verified:: Verified: Ming Kang<br>Longitude:: 103.7524266,Verified
Keat Hong Community Club,1.3841,103.7448,Postal Code:: 689687<br>Latitude:: <br>Level:: 1<br>Description:: Outside public toilets<br>Temperature of water:: Cold<br>Operator:: PA<br>Source:: Google Forms<br>Verified:: Verified: Ming Kang<br>Longitude:: ,Verified
Senja Hawker Centre,1.387218,103.761221,Postal Code:: 9QP6+RC Singapore<br>Latitude:: 1.387218<br>Level:: 1<br>Description:: Outside public toilets<br>Temperature of water:: Room Temperature<br>Operator:: Senja Hawker Centre<br>Source:: Google Forms<br>Verified:: Verified: Ming Kang<br>Longitude:: 103.761221,Verified
Choa Chu Kang Park,1.385776232,103.7467034,Postal Code:: 689718<br>Latitude:: 1.385776232<br>Level:: 1<br>Description:: Outside of toilet<br>Temperature of water:: Room Temperature<br>Operator:: NParks<br>Source:: Google Forms<br>Verified:: Verified: Ming Kang<br>Longitude:: 103.7467034,Verified
Villa Verde Fitness Corner,1.389299987,103.7529146,Postal Code:: 688721<br>Latitude:: 1.389299987<br>Level:: 1<br>Description:: Outside of toilet<br>Temperature of water:: Room Temperature<br>Operator:: NParks<br>Source:: Google Forms<br>Verified:: Verified: Ming Kang<br>Longitude:: 103.7529146,Verified
Kovan 209 Market and Food Centre,1.3591,103.8861,"Postal Code:: 530209<br>Latitude:: <br>Level:: 1<br>Description:: Next to the Fatt Soon Kueh Stall, located with the wash basins.<br>Temperature of water:: Cold<br>Operator:: Aljunied - Hougang Town Council<br>Source:: Google Forms<br>Verified:: Verified: Ming Kang<br>Longitude:: ",Verified
Masjid Hang Jebat Mosque,1.289555,103.798949,Postal Code:: 139533<br>Latitude:: 1.289555<br>Level:: 1<br>Description:: Near main entrance of mosque<br>Temperature of water:: Cold<br>Operator:: Masjid Hang Jebat Mosque<br>Source:: Google Forms<br>Verified:: Verified: Ming Kang<br>Longitude:: 103.798949,Verified
Old Airport Road Food Court,1.30856,103.88616,Postal Code:: 390051<br>Latitude:: 1.30856<br>Level:: 1<br>Description:: Outside public toilets (Female)<br>Temperature of water:: Room Temperature<br>Operator:: NEA<br>Source:: Google Forms<br>Verified:: Verified: Ming Kang<br>Longitude:: 103.88616,Verified
Woodlands Regional Library,1.4349,103.7868,"<img src=""https://mymaps.usercontent.google.com/hostedimage/m/*/3APRDMAXSeEuyKVn6IvxkEb7wjcM10XrCAdaI9DjOCDbnDTzZxWdNi3VeIOfR9MPKjVnMLkEqeq4lcsRcvPPbcFTEGY767UlMlV5DLPyjhKB8wu4FpxyAxew7h0EqcbiKgc00a8y7QeCKZK8a6ysJcZBXcWK10bKD1lcJ6gFI7JieKgAZBnx4tphCVa3dtKH-ATRHmPvVPn_m6v2YyQnKsk3IzleE3wc-W1V_FG4IX0xsLPvj63xuA1wyUWABjXU?authuser=0&fife=s16383"" height=""200"" width=""auto"" /><br><br>Postal Code:: 730900<br>Latitude:: <br>Level:: 1<br>Description:: Outside public toilets<br>Temperature of water:: Cold<br>Operator:: NLB<br>Source:: Google Forms<br>Verified:: Verified: Ming Kang<br>Longitude:: ",Verified
Changi Coast Road: NSRCC,1.316851822,103.9753454,Postal Code:: 8X8G+Q57 Singapore<br>Latitude:: 1.316851822<br>Level:: 1<br>Description:: Directly infront of NSRCC Carpark entrance<br>Temperature of water:: Unsure<br>Operator:: NParks<br>Source:: Google Forms<br>Verified:: Verified: Ming Kang<br>Longitude:: 103.9753454,Verified
