Name,Latitude,Longitude
Unnamed Fountain,1.4244189249231214,103.84415272868819
Unnamed Fountain,1.461385502403425,103.83659960207254
Unnamed Fountain,1.4629685949218434,103.83740439071462
Unnamed Fountain,1.2947450227070376,103.84609785135477
Unnamed Fountain,1.2919403085141348,103.84735122546623
Unnamed Fountain,1.292714539174493,103.84793421211798
Unnamed Fountain,1.3472347880127786,103.9253913017082
Unnamed Fountain,1.3417529331247482,103.91915479374276
Unnamed Fountain,1.3387133335760653,103.93354566473508
Unnamed Fountain,1.3419638304788608,103.93224989547528
Unnamed Fountain,1.3419582954553957,103.93225778459866
Unnamed Fountain,1.3419143497922756,103.93232308109546
Unnamed Fountain,1.3419100357525078,103.93232866995727
Unnamed Fountain,1.3419059387741552,103.9323339083899
Unnamed Fountain,1.3418976816086081,103.93234201305751
Unnamed Fountain,1.3418930961837388,103.93234947091045
Unnamed Fountain,1.3354613140010712,103.92510676870319
Unnamed Fountain,1.4104609145096918,103.83300192143999
Unnamed Fountain,1.2893057908531174,103.77149318841259
Unnamed Fountain,1.2931259301420603,103.76522145079234
Unnamed Fountain,1.2967683552082172,103.76271766893969
Unnamed Fountain,1.289887376914762,103.77022016653454
Unnamed Fountain,1.3005767917182551,103.76709414922111
Unnamed Fountain,1.3621357541136052,103.84837989004939
Unnamed Fountain,1.3621584869632926,103.84882981191363
Unnamed Fountain,1.3626216727202376,103.84620059782274
Unnamed Fountain,1.3643316795714502,103.83833906064228
Unnamed Fountain,1.3833886616808027,103.9454874396426
Unnamed Fountain,1.391413920435945,103.99083806379183
Unnamed Fountain,1.3919860720027983,103.98927476582776
Unnamed Fountain,1.3060444920984773,103.93425646467091
Unnamed Fountain,1.3082634628767233,103.93891855472658
Unnamed Fountain,1.3087891294062668,103.93917453129696
Unnamed Fountain,1.3168396491211993,103.97537692959773
Unnamed Fountain,1.3118383966294294,103.81470699513541
Unnamed Fountain,1.3118428967471476,103.81470688008784
Unnamed Fountain,1.311932341961937,103.81687634741844
Unnamed Fountain,1.3165260153654372,103.81649161717934
Unnamed Fountain,1.317167264614524,103.81655885414865
Unnamed Fountain,1.318032543780238,103.81828817611984
Unnamed Fountain,1.3207639402029572,103.81446771629825
Unnamed Fountain,1.320808916325013,103.81774667559273
Unnamed Fountain,1.3208091388187406,103.81774985107552
Unnamed Fountain,1.3705431192710877,103.82782374663645
Unnamed Fountain,1.3705431192710877,103.82782374663645
