Name,Latitude,Longitude,Description,Type
Margaret Drive Hawker Centre,1.297780767,103.8044252,Postal Code:: 7RX3+4Q Singapore<br>Level:: 1<br>Description:: Next to Queenstown Lontong<br>Temperature of water:: Cold<br>Operator:: NEA<br>Source:: Google Forms<br>Verified:: <br>Latitude:: 1.297780767<br>Longitude:: 103.8044252,Verified
Cheng San Community Centre ,,,Postal Code:: 569205<br>Level:: 1<br>Description:: Next to basketball court <br>Temperature of water:: Unsure<br>Operator:: PA<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ,Verified
Woodlands Integrated Transport Hub,,,Postal Code:: 738343<br>Level:: 1<br>Description:: Around alighting area<br>Temperature of water:: Unsure<br>Operator:: SMRT<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ,Verified
State Courts,,,"Postal Code:: 059724<br>Level:: Every Storey<br>Description:: Outside public toilets<br>Temperature of water:: Cold, Hot<br>Operator:: Courts<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ",Verified
SUTD Building 1,1.3402191,103.9624426,"Postal Code:: 487372<br>Level:: 1<br>Description:: Outside public toilets, next to d'Star Bistro @ SUTD<br>Temperature of water:: Cold<br>Operator:: SUTD<br>Source:: Google Forms<br>Verified:: <br>Latitude:: 1.3402191<br>Longitude:: 103.9624426",Verified
Dairy Farm Carpark B,,,Postal Code:: 679059<br>Level:: Ground<br>Description:: At the shelter<br>Temperature of water:: Room Temperature<br>Operator:: NParks<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ,Verified
Harbourfront Bus Interchange,,,"Postal Code:: 099253<br>Level:: 1<br>Description:: Near to the Buzz convenience store<br>Temperature of water:: Cold, Room Temperature<br>Operator:: SBS Transit<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ",Verified
Bukit Batok Nature Park,1.34947,103.76322,Postal Code:: 659761<br>Level:: 1<br>Description:: Outside public toilets<br>Temperature of water:: Unsure<br>Operator:: NParks<br>Source:: Google Forms<br>Verified:: <br>Latitude:: 1.34947<br>Longitude:: 103.76322,Verified
Plaza Singapura: Muji,1.3005,103.8452,Postal Code:: 238839<br>Level:: N1<br>Description:: Inside Muji Shop<br>Temperature of water:: Cold<br>Operator:: Muji<br>Source:: Google Forms<br>Verified:: <br>Latitude:: 1.3005<br>Longitude:: 103.8452,Verified
Old Terminal Lane: Kallang PCN,1.308193645,103.871077,Postal Code:: 8V5C+7C Singapore<br>Level:: 1<br>Description:: Outside public toilets (Red triangle rooftop + white walls)<br>Temperature of water:: Unsure<br>Operator:: NParks<br>Source:: Google Forms<br>Verified:: <br>Latitude:: 1.308193645<br>Longitude:: 103.871077,Verified
Passion Wave @ Marina Bay,1.2950795,103.8664925,"Postal Code:: 437440<br>Level:: 1<br>Description:: Near the water sports entrance towards of Passion Wave @ Marina Bay <br>Temperature of water:: Cold, Room Temperature<br>Operator:: Passion Wave<br>Source:: Google Forms<br>Verified:: <br>Latitude:: 1.2950795<br>Longitude:: 103.8664925",Verified
Toh Guan Park: Next to the running track,1.338804299,103.7443385,Postal Code:: 8PQV+GPG Singapore<br>Level:: 1<br>Description:: On IPPT track<br>Temperature of water:: Unsure<br>Operator:: <br>Source:: Google Forms<br>Verified:: <br>Latitude:: 1.338804299<br>Longitude:: 103.7443385,Verified
Punggol East Bridge: Waterway Sunrise PCN,1.3988204,103.9200217,Postal Code:: 9WXC+F2 Singapore<br>Level:: 1<br>Description:: Inside the toilets<br>Temperature of water:: Unsure<br>Operator:: NParks<br>Source:: Google Forms<br>Verified:: <br>Latitude:: 1.3988204<br>Longitude:: 103.9200217,Verified
PAssion Wave @ Marina Bay,,,Postal Code:: 7VV8+XQ Singapore<br>Level:: 1<br>Description:: Outside public toilets<br>Temperature of water:: Unsure<br>Operator:: Passion Wave<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ,Verified
PLQ Mall ,,,Postal Code:: 408533<br>Level:: 1<br>Description:: On the walkway towards Tipsy Bird gastrobar <br>Temperature of water:: Unsure<br>Operator:: Lendlease<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ,Verified
Pek Kio Food Center,1.31622,103.8498,Postal Code:: 211041<br>Level:: 1<br>Description:: Near Lai Heng #01-41<br>Temperature of water:: Room Temperature<br>Operator:: Tanjong Pagar Town Council<br>Source:: Google Forms<br>Verified:: <br>Latitude:: 1.31622<br>Longitude:: 103.8498,Verified
Riverside Park,1.399347,103.8879549,Postal Code:: 544651<br>Level:: 1<br>Description:: Infront of public toilets<br>Temperature of water:: Room Temperature<br>Operator:: NParks<br>Source:: Google Forms<br>Verified:: <br>Latitude:: 1.399347<br>Longitude:: 103.8879549,Verified
Along Punggol Park PCN,1.409579304,103.8981102,Postal Code:: CV5X+R6 Singapore<br>Level:: 1<br>Description:: Beside public toilets<br>Temperature of water:: Cold<br>Operator:: NParks<br>Source:: Google Forms<br>Verified:: <br>Latitude:: 1.409579304<br>Longitude:: 103.8981102,Verified
Along Punggol Waterway Sunrise PCN,1.398805,103.920049,Postal Code:: 9WXC+G2 Singapore<br>Level:: 1<br>Description:: Beside public toilets<br>Temperature of water:: Cold<br>Operator:: NParks<br>Source:: Google Forms<br>Verified:: <br>Latitude:: 1.398805<br>Longitude:: 103.920049,Verified
Bethesda (Bedok-Tampines) Church,,,Postal Code:: 469717<br>Level:: 1<br>Description:: Outside public toilets<br>Temperature of water:: Room Temperature<br>Operator:: <br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ,Verified
Bishan Bus Interchange,,,Postal Code:: 570514<br>Level:: 1<br>Description:: Outside public toilets<br>Temperature of water:: Room Temperature<br>Operator:: SBS Transit<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ,Verified
Bukit Merah Bus Interchange,,,Postal Code:: 159840<br>Level:: 1<br>Description:: Outside public toilets<br>Temperature of water:: Room Temperature<br>Operator:: SBS Transit<br>Source:: Google Forms<br>Verified:: <br>Latitude:: <br>Longitude:: ,Verified
Chestnut Close Playground Shed/Exercise Area,1.369122,103.773678,Postal Code:: 9Q9F+JFV Singapore<br>Level:: 1<br>Description:: Outside public toilets<br>Temperature of water:: Room Temperature<br>Operator:: <br>Source:: Google Forms<br>Verified:: <br>Latitude:: 1.369122<br>Longitude:: 103.773678,Verified
